Vardas              Pavarde             Galutinis balas     
Vardas100           Pavarde100          6.84                
Vardas1000          Pavarde1000         6.24                
Vardas10000         Pavarde10000        5.6                 
Vardas10004         Pavarde10004        6.88                
Vardas10005         Pavarde10005        6.96                
Vardas10008         Pavarde10008        8.12                
Vardas10009         Pavarde10009        5                   
Vardas1001          Pavarde1001         6.92                
Vardas10010         Pavarde10010        6.2                 
Vardas10011         Pavarde10011        6.4                 
Vardas10012         Pavarde10012        8.2                 
Vardas10016         Pavarde10016        6.08                
Vardas10018         Pavarde10018        6.28                
Vardas10019         Pavarde10019        7.96                
Vardas1002          Pavarde1002         6.4                 
Vardas10020         Pavarde10020        8.04                
Vardas10021         Pavarde10021        5.52                
Vardas10022         Pavarde10022        5.12                
Vardas10023         Pavarde10023        7.92                
Vardas10024         Pavarde10024        5.96                
Vardas10025         Pavarde10025        6.4                 
Vardas10026         Pavarde10026        5.08                
Vardas10027         Pavarde10027        5.2                 
Vardas10028         Pavarde10028        5.24                
Vardas10029         Pavarde10029        5.24                
Vardas10031         Pavarde10031        5.28                
Vardas10033         Pavarde10033        5.4                 
Vardas10034         Pavarde10034        8.24                
Vardas10035         Pavarde10035        7.28                
Vardas10036         Pavarde10036        5.92                
Vardas1004          Pavarde1004         6.48                
Vardas10040         Pavarde10040        7.8                 
Vardas10043         Pavarde10043        5.68                
Vardas10045         Pavarde10045        7.24                
Vardas10047         Pavarde10047        5.96                
Vardas10048         Pavarde10048        5.76                
Vardas10054         Pavarde10054        6.52                
Vardas10057         Pavarde10057        5.8                 
Vardas10058         Pavarde10058        6.92                
Vardas1006          Pavarde1006         6.56                
Vardas10062         Pavarde10062        5.8                 
Vardas10064         Pavarde10064        5.04                
Vardas10065         Pavarde10065        7.24                
Vardas10066         Pavarde10066        8.16                
Vardas10069         Pavarde10069        7.12                
Vardas10072         Pavarde10072        6.68                
Vardas10073         Pavarde10073        8.12                
Vardas10075         Pavarde10075        6.28                
Vardas10076         Pavarde10076        7.4                 
Vardas10077         Pavarde10077        7.04                
Vardas10079         Pavarde10079        7.36                
Vardas10082         Pavarde10082        5.6                 
Vardas10083         Pavarde10083        5.72                
Vardas10088         Pavarde10088        5.96                
Vardas10090         Pavarde10090        6.28                
Vardas10092         Pavarde10092        5.64                
Vardas10095         Pavarde10095        6.44                
Vardas10098         Pavarde10098        7.44                
Vardas101           Pavarde101          6.84                
Vardas10100         Pavarde10100        6.64                
Vardas10102         Pavarde10102        5.08                
Vardas10103         Pavarde10103        6.4                 
Vardas10104         Pavarde10104        8.16                
Vardas10105         Pavarde10105        6.44                
