Vardas              Pavarde             Galutinis balas     
Vardas1             Pavarde1            2.28                
Vardas10            Pavarde10           2.12                
Vardas100000        Pavarde100000       3.44                
Vardas10001         Pavarde10001        4.08                
Vardas10002         Pavarde10002        3.12                
Vardas10003         Pavarde10003        3.12                
Vardas10006         Pavarde10006        4.84                
Vardas10007         Pavarde10007        3.24                
Vardas10013         Pavarde10013        4.4                 
Vardas10014         Pavarde10014        2.44                
Vardas10015         Pavarde10015        1.88                
Vardas10017         Pavarde10017        4.28                
Vardas1003          Pavarde1003         2.8                 
Vardas10030         Pavarde10030        2.8                 
Vardas10032         Pavarde10032        2.92                
Vardas10037         Pavarde10037        4.32                
Vardas10038         Pavarde10038        4.72                
Vardas10039         Pavarde10039        3.04                
Vardas10041         Pavarde10041        3.6                 
Vardas10042         Pavarde10042        4.36                
Vardas10044         Pavarde10044        3.84                
Vardas10046         Pavarde10046        4.16                
Vardas10049         Pavarde10049        4.12                
Vardas1005          Pavarde1005         2.6                 
Vardas10050         Pavarde10050        3.68                
Vardas10051         Pavarde10051        4.64                
Vardas10052         Pavarde10052        3.76                
Vardas10053         Pavarde10053        4.4                 
Vardas10055         Pavarde10055        4.92                
Vardas10056         Pavarde10056        2.28                
Vardas10059         Pavarde10059        2.36                
Vardas10060         Pavarde10060        1.32                
Vardas10061         Pavarde10061        3.88                
Vardas10063         Pavarde10063        2.56                
Vardas10067         Pavarde10067        3.16                
Vardas10068         Pavarde10068        2.56                
Vardas1007          Pavarde1007         3.6                 
Vardas10070         Pavarde10070        4.28                
Vardas10071         Pavarde10071        3.04                
Vardas10074         Pavarde10074        2.48                
Vardas10078         Pavarde10078        1.8                 
Vardas1008          Pavarde1008         4.96                
Vardas10080         Pavarde10080        4.96                
Vardas10081         Pavarde10081        2.88                
Vardas10084         Pavarde10084        2.4                 
Vardas10085         Pavarde10085        4.68                
Vardas10086         Pavarde10086        3.48                
Vardas10087         Pavarde10087        4.52                
Vardas10089         Pavarde10089        3.28                
Vardas1009          Pavarde1009         1.88                
Vardas10091         Pavarde10091        1.8                 
Vardas10093         Pavarde10093        3.24                
Vardas10094         Pavarde10094        4.2                 
Vardas10096         Pavarde10096        2.6                 
Vardas10097         Pavarde10097        2.08                
Vardas10099         Pavarde10099        4.8                 
Vardas1010          Pavarde1010         4.76                
Vardas10101         Pavarde10101        4.92                
Vardas10108         Pavarde10108        2.96                
Vardas10109         Pavarde10109        4.52                
Vardas1011          Pavarde1011         1.96                
Vardas10110         Pavarde10110        3.28                
Vardas10111         Pavarde10111        2.48                
Vardas10113         Pavarde10113        2.6                 
Vardas10115         Pavarde10115        3.44                
Vardas10116         Pavarde10116        2.12                
